FarmerID,Gender,Age,HaveHandPhone,isTrained,FarmSize (Hectare),FarmProduction (Kg),SalesQuota (Kg),Sales Last Year (Kg),Number of Farm,Number Of Trees,FarmerStatus
731100002101,Male,66,No,1,"1,16",400,495,,2,650,Bad
731100004101,Male,59,No,1,2,860,1045,,2,1300,Good
731100025101,Male,52,Yes,1,"1,04",525,"247,5",,2,730,Bad
731100042101,Male,40,Yes,1,"1,22",440,"500,5",,1,800,Bad
731100043101,Female,45,Yes,1,"1,62",720,726,,1,1000,Bad
731100066101,Male,48,Yes,1,"1,5",620,693,,1,780,Bad
731100077101,Male,51,Yes,1,"1,48",478,"533,5","36,86",1,1000,Bad
731100084101,Female,52,Yes,1,"1,18",620,682,,1,800,Bad
731100088101,Female,49,Yes,1,"1,2",548,616,,2,800,Bad
731100106101,Male,50,Yes,1,"1,12",410,495,,1,800,Bad
731100134101,Male,60,Yes,1,"1,14",300,363,,1,800,Bad
731100154101,Male,56,Yes,1,"1,57",540,594,,1,1300,Bad
731100167101,Male,43,Yes,1,"1,15",300,385,,1,800,Bad
731100168101,Male,41,No,1,"1,45",610,693,,2,720,Bad
731100183101,Male,54,No,1,"2,61",936,1045,,2,1350,Good
731100200101,Male,43,Yes,1,"1,07",352,396,,1,700,Bad
731100255101,Male,54,No,1,"1,25",408,"456,5",,1,900,Bad
731100265101,Female,42,No,1,"2,54",1170,1100,,2,1700,Good
731100266101,Male,42,No,1,"1,24",600,550,,2,800,Bad
731100270101,Male,71,No,1,"1,25",490,440,,1,820,Bad
731100272101,Male,58,No,1,"2,2",1040,1100,,2,1600,Good
731100275101,Female,51,No,1,"1,05",460,"456,5",,2,600,Bad
731100276101,Male,58,No,1,"1,66",730,825,,2,850,Bad
731100279101,Male,61,No,1,"1,68",630,605,,2,950,Bad
731100286101,Male,55,No,1,"2,85",1300,1155,,2,1600,Good
731100287101,Male,65,No,1,"1,66",600,770,,2,900,Bad
731100295101,Male,42,Yes,1,"1,42",550,616,,1,1100,Bad
731100312101,Male,52,Yes,1,"1,43",480,528,,1,1300,Bad
731100401101,Male,45,Yes,1,"1,12",190,"247,5",,1,510,Bad
731100403101,Male,36,Yes,1,"1,2",190,"247,5",,1,850,Bad
731100405101,Male,36,Yes,1,"1,77",230,297,,2,1100,Bad
731100412101,Female,28,Yes,1,"1,13",190,242,,1,850,Bad
731100416101,Male,47,Yes,1,"1,42",350,451,,1,930,Bad
731100455101,Female,40,Yes,1,"1,18",540,605,,1,600,Bad
731100457101,Male,61,Yes,1,"1,28",682,605,,1,680,Bad
731100462101,Female,60,Yes,1,"1,18",658,660,,2,700,Bad
731100463101,Male,57,Yes,1,"1,81",520,462,,1,600,Bad
731100632101,Female,52,No,1,"1,21",630,"698,5",,2,750,Bad
731100642101,Male,45,Yes,1,"1,4",594,"214,5",,2,1200,Bad
731100644101,Male,54,Yes,1,"1,4",644,"720,5",,2,750,Bad
731100756101,Male,48,Yes,1,"1,47",860,770,,1,1100,Bad
731100762101,Female,72,Yes,1,"1,49",480,550,,2,800,Bad
731100767101,Male,39,Yes,1,"1,36",490,550,,1,850,Bad
731100775101,Male,51,Yes,1,"2,12",880,825,,1,1300,Bad
731100878101,Male,44,Yes,1,"1,21",440,495,,2,1000,Bad
731100894101,Male,51,Yes,1,"1,11",468,528,,2,950,Bad
731100922101,Female,50,Yes,1,"1,16",630,693,,1,725,Bad
731100977101,Female,44,Yes,1,"1,23",544,627,,2,925,Bad
731100981101,Female,51,Yes,1,"1,22",630,715,,2,1030,Bad
731100984101,Male,54,Yes,1,"1,08",658,660,,1,750,Bad
731100988101,Female,48,Yes,1,"1,27",680,781,,2,950,Bad
731100999101,Male,57,No,1,"1,04",420,462,,1,630,Bad
731101015101,Female,45,Yes,1,"1,14",664,737,,1,900,Bad
731101037101,Male,38,Yes,1,"1,64",702,814,,3,1100,Bad
731101054101,Male,50,Yes,1,"1,3",650,715,,1,1200,Bad
731101060101,Male,39,Yes,1,"1,29",560,616,,1,580,Bad
731101062101,Female,73,Yes,1,"1,3",625,"687,5",,1,1000,Bad
731101063101,Female,41,Yes,1,"1,1",305,"335,5",,1,840,Bad
731101080101,Male,41,Yes,1,"1,5",852,"1030,7",,1,1115,Good
731101132101,Female,41,Yes,1,"1,71",300,"324,5",,3,1035,Bad
731102602101,Male,60,Yes,1,"1,72",710,770,,2,1350,Bad
731102612101,Female,60,Yes,1,"1,38",615,660,,1,1000,Bad
731102613101,Female,49,Yes,1,"1,71",695,770,,2,1300,Bad
731102701101,Male,73,Yes,1,"1,31",460,561,,2,820,Bad
731102779101,Male,69,Yes,1,"1,77",530,583,,1,710,Bad
731102802101,Male,46,Yes,1,"1,2",400,451,,2,400,Bad
731102803101,Male,51,Yes,1,"1,66",580,638,,2,720,Bad
731102813101,Male,47,Yes,1,"1,1",300,"391,6",,1,650,Bad
